ac_number,constituency,region,district,winning_party_2021,winning_candidate_2021,winning_party_2026,winning_candidate_2026,total_votes_2021,total_votes_2026,Flipped?,winning_party_alliance_2021,winning_party_alliance_2026
59,Dharmapuri,North,Dharmapuri,PMK,VENKATESHWARAN.S.P.,PMK,SOWMIYA ANBUMANI,105630,93713,No,AIADMK+,AIADMK+
60,Pappireddippatti,North,Dharmapuri,AIADMK,GOVINDASAMY.A,AIADMK,MARAGATHAM VETRIVEL,114507,101829,No,AIADMK+,AIADMK+
61,Harur,North,Dharmapuri,AIADMK,SAMPATHKUMAR.V,AIADMK,SAMPATHKUMAR. V,99061,75523,No,AIADMK+,AIADMK+
62,Chengam,North,Tiruvannamalai,DMK,GIRI.M.P,AIADMK,S.VELU,108081,87802,Yes,DMK+,AIADMK+
63,Tiruvannamalai,North,Tiruvannamalai,DMK,E V VELU,DMK,VELU. E.V,137876,88273,No,DMK+,DMK+
64,Kilpennathur,North,Tiruvannamalai,DMK,K.Pitchandi,AIADMK,RAMACHANDRAN.S,104675,90503,Yes,DMK+,AIADMK+
65,Kalasapakkam,North,Tiruvannamalai,DMK,Saravanan.P.S.T,AIADMK,AGRI KRISHNAMURTHY. S S,94134,89629,Yes,DMK+,AIADMK+
66,Polur,North,Tiruvannamalai,AIADMK,Agri KRISHNAMURTHY. S S,TVK,ABISHEK. R,97732,67961,Yes,AIADMK+,TVK
67,Arani,North,Tiruvannamalai,AIADMK,S.RAMACHANDRAN,AIADMK,JAYASUDHA. L,102961,76735,No,AIADMK+,AIADMK+
68,Cheyyar,North,Tiruvannamalai,DMK,JOTHI. O,AIADMK,MUKKUR N. SUBRAMANIAN,102460,86680,Yes,DMK+,AIADMK+
69,Vandavasi,North,Tiruvannamalai,DMK,Ambethkumar S,DMK,AMBETHKUMAR. S,102064,63805,No,DMK+,DMK+
70,Gingee,Central,Villupuram,DMK,MASTHAN K S,PMK,GANESHKUMAR A,109625,78201,Yes,DMK+,AIADMK+
71,Mailam,Central,Villupuram,PMK,SIVAKUMAR C,AIADMK,SHANMUGAM C VE,81044,82353,Yes,AIADMK+,AIADMK+
